timestamp,open,high,low,close
datetime,float,float,float,float
T,,,,
2007-01-24 23:00:00,121.06,121.07,120.86,120.88
2007-01-25 00:00:00,120.86,121.04,120.84,120.95
2007-01-25 01:00:00,120.95,120.97,120.62,120.62
2007-01-25 02:00:00,120.61,120.67,120.34,120.42
2007-01-25 03:00:00,120.43,120.62,120.42,120.53
2007-01-25 04:00:00,120.53,120.57,120.37,120.37
2007-01-25 05:00:00,120.38,120.51,120.18,120.34
2007-01-25 06:00:00,120.36,120.44,120.25,120.44
2007-01-25 07:00:00,120.44,120.57,120.34,120.53
2007-01-25 08:00:00,120.53,120.68,120.44,120.62
2007-01-25 09:00:00,120.63,120.65,120.36,120.45
2007-01-25 10:00:00,120.46,120.64,120.40,120.57
2007-01-25 11:00:00,120.56,120.86,120.39,120.74
2007-01-25 12:00:00,120.75,120.91,120.65,120.84
2007-01-25 13:00:00,120.85,120.92,120.74,120.76
2007-01-25 14:00:00,120.75,121.01,120.75,120.90
2007-01-25 15:00:00,120.91,121.06,120.83,120.92
2007-01-25 16:00:00,120.91,121.03,120.89,120.95
2007-01-25 17:00:00,120.94,120.97,120.88,120.92
2007-01-25 18:00:00,120.92,121.06,120.90,121.01
2007-01-25 19:00:00,121.01,121.26,121.00,121.09
2007-01-25 20:00:00,121.08,121.18,121.04,121.12
2007-01-25 21:00:00,121.12,121.25,121.12,121.22
2007-01-25 22:00:00,121.22,121.28,121.22,121.24
2007-01-25 23:00:00,121.24,121.59,121.20,121.57
2007-01-26 00:00:00,121.57,121.61,121.46,121.54
2007-01-26 01:00:00,121.54,121.56,121.30,121.32
2007-01-26 02:00:00,121.33,121.37,121.26,121.36
2007-01-26 03:00:00,121.35,121.55,121.35,121.50
2007-01-26 04:00:00,121.50,121.50,121.31,121.42
2007-01-26 05:00:00,121.43,121.46,121.33,121.39
2007-01-26 06:00:00,121.39,121.50,121.37,121.47
2007-01-26 07:00:00,121.47,121.53,121.39,121.52
2007-01-26 08:00:00,121.52,121.56,121.36,121.36
2007-01-26 09:00:00,121.37,121.47,121.36,121.39
2007-01-26 10:00:00,121.39,121.43,121.29,121.42
2007-01-26 11:00:00,121.42,121.62,121.39,121.57
2007-01-26 12:00:00,121.57,121.59,121.47,121.50
2007-01-26 13:00:00,121.50,121.58,121.40,121.43
2007-01-26 14:00:00,121.42,121.47,121.32,121.44
2007-01-26 15:00:00,121.44,121.55,121.24,121.47
2007-01-26 16:00:00,121.47,121.54,121.43,121.51
2007-01-26 17:00:00,121.52,121.56,121.47,121.47
2007-01-26 18:00:00,121.47,121.53,121.45,121.51
2007-01-26 19:00:00,121.51,121.58,121.50,121.56
2007-01-26 20:00:00,121.56,121.58,121.54,121.58
2007-01-26 21:00:00,121.58,121.58,121.57,121.57
2007-01-28 23:00:00,121.45,121.49,121.42,121.46
2007-01-29 00:00:00,121.46,121.67,121.46,121.66
2007-01-29 01:00:00,121.66,121.80,121.65,121.78
2007-01-29 02:00:00,121.79,121.79,121.70,121.74
2007-01-29 03:00:00,121.74,121.75,121.68,121.75
2007-01-29 04:00:00,121.75,121.78,121.73,121.77
2007-01-29 05:00:00,121.77,121.78,121.71,121.75
2007-01-29 06:00:00,121.75,121.95,121.75,121.94
2007-01-29 07:00:00,121.94,122.16,121.86,121.87
2007-01-29 08:00:00,121.86,121.89,121.75,121.87
2007-01-29 09:00:00,121.87,121.95,121.81,121.85
2007-01-29 10:00:00,121.86,121.95,121.81,121.92
